659,00;0,00;0,00;0,00;0,00;0,00;0,00
686,00;0.001;0,00;0,00;0,00;0,00;0,00
708,00;0.024;0,00;0,00;0,00;0,00;0,00
754,00;0.034;0,00;0,00;0,00;0,00;0,00
794,00;0.048;0.01;0,00;0,00;0,00;0,00
836,00;0.057;0.019;0.01;0,00;0,00;0,00
886,00;0.066;0.038;0.013;0,00;0,00;0,00
974,00;0.074;0.047;0.03;0,00;0,00;0,00
1081,00;0.083;0.056;0.038;0.011;0,00;0,00
1225,00;0.094;0.07;0.048;0.021;0.002;0,00
1404,00;0.109;0.091;0.072;0.044;0.027;0.018
1629,00;0.119;0.102;0.083;0.064;0.046;0.028
1733,00;0.134;0.116;0.108;0.079;0.06;0.052
1849,00;0.143;0.127;0.119;0.092;0.074;0.066
1998,00;0.153;0.136;0.128;0.102;0.094;0.076
2157,00;0.163;0.146;0.138;0.111;0.104;0.087
2347,00;0.173;0.166;0.149;0.121;0.113;0.097
2566,00;0.182;0.176;0.159;0.141;0.123;0.116
2934,00;0.193;0.186;0.169;0.151;0.134;0.126
3356,00;0.219;0.218;0.202;0.188;0.174;0.17
3611,00;0.229;0.228;0.214;0.198;0.194;0.18
3882,00;0.239;0.238;0.224;0.21;0.204;0.19
4210,00;0.249;0.248;0.234;0.22;0.216;0.21
4604,00;0.264;0.258;0.244;0.23;0.226;0.222
5076,00;0.274;0.268;0.264;0.24;0.236;0.232
5654,00;0.284;0.278;0.274;0.25;0.246;0.242
6381,00;0.294;0.288;0.284;0.26;0.256;0.252
7323,00;0.303;0.302;0.298;0.276;0.274;0.272
8441,00;0.313;0.312;0.31;0.296;0.284;0.282
9336,00;0.328;0.327;0.325;0.313;0.299;0.297
10448,00;0.338;0.337;0.335;0.323;0.321;0.306
14013,00;0.351;0.351;0.345;0.333;0.331;0.319
20118,00;0.371;0.371;0.369;0.358;0.356;0.344
22749,00;0.381;0.381;0.379;0.372;0.366;0.354
25276,00;0.391;0.391;0.389;0.382;0.38;0.364
28309,00;0.401;0.401;0.399;0.392;0.39;0.378
28309,00;0.411;0.411;0.409;0.402;0.4;0.388
